Study,type,stroke_beta,stroke_other,nostroke_beta,nostroke_other,mort_beta,mort_other,nomort_beta,nomort_other,n_beta,n_other
1,Atenolol,422,327,9196,9312,820,738,8798,8901,9618,9639
2,Non-atenolol,,,,,5,4,48,49,53,53
3,Mixed beta-blockers/diuretics,118,133,8179,8046,319,337,7978,7842,8297,8179
4,Atenolol,14,9,1143,1168,17,13,1140,1164,1157,1177
5,Mixed beta-blockers/diuretics,32,41,3265,3231,96,101,3201,3171,3297,3272
6,Atenolol,201,176,11108,11091,893,873,10416,10394,11309,11267
7,Atenolol,309,232,4249,4373,431,383,4127,4222,4558,4605
8,Atenolol,56,45,1046,1036,167,134,935,947,1102,1081
9,Mixed beta-blockers/diuretics,196,159,5275,5251,228,231,5243,5179,5471,5410
10,Mixed beta-blockers/diuretics,237,422,1976,3979,369,742,1844,3659,2213,4401
11,Atenolol,17,21,341,379,59,75,299,325,358,400
12,Non-atenolol,6,11,144,143,1,7,149,147,150,154
13,Non-atenolol,42,18,4361,4279,120,128,4283,4169,4403,4297
